Subfund_Code,Share_Class_Code,Valuation_Date,Subfund_CCY,Net_Asset_Value,Nb_Shares_Outstanding,NAV_Per_Share,CCY_NAV_share,ISIN_Code,Nb_Shares_Subscribed,Amount_Subscribed,Nb_Shares_Redeemed,Amount_Redeemed,Subfund_Long_Name,Dividend_Per_Share,Dividend_Payment_Date,Dividend_PCCY,Dividend_Payment_CCY,Dividend_Subfund_CCY,Total_Net_Assets
1,A,02/01/2018,EUR,53472989.09,564961.4266,111.687,EUR,LU1234DEMO1A,0,0,0,0,NA,0,0,0,0,EUR,53472989.09
1,A,03/01/2018,EUR,53615728.16,564974.2414,111.982,EUR,LU1234DEMO1A,0,0,0,0,NA,0,0,0,0,EUR,53615728.16
1,A,04/01/2018,EUR,53706892.15,565337.9646,112.1,EUR,LU1234DEMO1A,0,0,0,0,NA,0,0,0,0,EUR,53706892.15
1,A,05/01/2018,EUR,53946703.05,566130.6532,112.4422,EUR,LU1234DEMO1A,25.7948,2441.5616,12.98,1228.5452,NA,0,0,0,0,EUR,53946703.05
1,A,08/01/2018,EUR,54051911.14,566282,112.631,EUR,LU1234DEMO1A,549.703,52166.4902,185.9798,17649.3662,NA,0,0,0,0,EUR,54051911.14
1,A,09/01/2018,EUR,54001308.64,566882.5256,112.4068,EUR,LU1234DEMO1A,792.6886,75304.6618,0,0,NA,0,0,0,0,EUR,54001308.64
1,A,10/01/2018,EUR,53763755.88,566653.7472,111.9584,EUR,LU1234DEMO1A,814.9906,77660.9566,663.6438,63239.1972,NA,0,0,0,0,EUR,53763755.88
1,A,11/01/2018,EUR,53882490.78,568565.6658,111.8286,EUR,LU1234DEMO1A,711.7288,67935.2196,111.2032,10614.6192,NA,0,0,0,0,EUR,53882490.78
1,A,12/01/2018,EUR,53850350.07,568226.522,111.8286,EUR,LU1234DEMO1A,242.903,23139.4224,471.6932,44933.1138,NA,0,0,0,0,EUR,53850350.07
1,A,15/01/2018,EUR,53888766.22,568752.153,111.805,EUR,LU1234DEMO1A,2131.5756,202242.796,219.657,20840.5818,NA,0,0,0,0,EUR,53888766.22
1,A,16/01/2018,EUR,53950942.23,568686.6866,111.9466,EUR,LU1234DEMO1A,415.6314,39389.1552,754.7752,71529.8654,NA,0,0,0,0,EUR,53950942.23
1,A,17/01/2018,EUR,54084575.24,569734.2434,112.0174,EUR,LU1234DEMO1A,622.5326,58996.6606,96.9016,9182.7246,NA,0,0,0,0,EUR,54084575.24
1,A,18/01/2018,EUR,53988827.63,569446.9016,111.8758,EUR,LU1234DEMO1A,366.331,34709.2044,431.7974,40912.0868,NA,0,0,0,0,EUR,53988827.63
1,A,19/01/2018,EUR,53982986.66,569746.5744,111.805,EUR,LU1234DEMO1A,1222.1732,115946.564,174.6164,16565.9728,NA,0.3658,50880.42,0,EUR,EUR,53982986.66
1,A,22/01/2018,EUR,53938391.66,568134.3522,112.0292,EUR,LU1234DEMO1A,368.0656,34940.6142,655.4074,62217.9308,NA,0,0,0,0,EUR,53938391.66
1,A,23/01/2018,EUR,54086311.04,567237.859,112.513,EUR,LU1234DEMO1A,732.2726,69426.5508,432.5998,41014.3456,NA,0,0,0,0,EUR,54086311.04
1,A,24/01/2018,EUR,54086802.51,568557.453,112.2534,EUR,LU1234DEMO1A,146.4144,13872.08,1758.6248,166628.4844,NA,0,0,0,0,EUR,54086802.51
1,A,25/01/2018,EUR,53957899.99,569241.0152,111.8522,EUR,LU1234DEMO1A,62.0798,5894.277,958.5848,91007.559,NA,0,0,0,0,EUR,53957899.99
1,A,26/01/2018,EUR,54055321.32,569005.6642,112.1,EUR,LU1234DEMO1A,2083.2428,198638.2028,763.6488,72813.9414,NA,0,0,0,0,EUR,54055321.32
1,A,29/01/2018,EUR,53934236.32,569895.0066,111.6752,EUR,LU1234DEMO1A,862.2378,82024.1364,178.6756,16997.6168,NA,0,0,0,0,EUR,53934236.32
1,A,30/01/2018,EUR,53473961.61,569371.889,110.8256,EUR,LU1234DEMO1A,909.839,86242.9078,1145.19,108551.7636,NA,0,0,0,0,EUR,53473961.61
1,A,31/01/2018,EUR,53495034.84,568867.9582,110.9672,EUR,LU1234DEMO1A,889.3424,84487.528,0,0,NA,0,0,0,0,EUR,53495034.84
1,A,01/02/2018,EUR,53223765.24,568771.0684,110.4244,EUR,LU1234DEMO1A,0,0,523.1176,49507.0534,NA,0,0,0,0,EUR,53223765.24
1,A,02/02/2018,EUR,52764424.13,569164.5748,109.3978,EUR,LU1234DEMO1A,248.626,23350.666,752.5568,70678.106,NA,0,0,0,0,EUR,52764424.13
1,A,05/02/2018,EUR,52326972.31,571237.4454,108.088,EUR,LU1234DEMO1A,1050.436,98780.4668,1147.3258,107892.0964,NA,0,0,0,0,EUR,52326972.31
1,A,06/02/2018,EUR,51635131.68,570676.2728,106.7664,EUR,LU1234DEMO1A,393.4946,36822.4074,0,0,NA,0,0,0,0,EUR,51635131.68
1,A,07/02/2018,EUR,51989079.43,571550.0038,107.3328,EUR,LU1234DEMO1A,2366.9856,219431.8206,294.115,27265.729,NA,0,0,0,0,EUR,51989079.43
1,A,08/02/2018,EUR,51258383.13,571640.085,105.8106,EUR,LU1234DEMO1A,481.1686,44076.5164,1042.3412,95481.411,NA,0,0,0,0,EUR,51258383.13
1,A,09/02/2018,EUR,51133352.91,572484.7526,105.3976,EUR,LU1234DEMO1A,1347.265,121901.1272,473.534,42846.0714,NA,0,0,0,0,EUR,51133352.91
1,A,12/02/2018,EUR,51454706.44,572294.69,106.0938,EUR,LU1234DEMO1A,724.874,65935.8866,634.7928,57741.6362,NA,0,0,0,0,EUR,51454706.44
1,A,13/02/2018,EUR,51515436.41,574314.2482,105.846,EUR,LU1234DEMO1A,1321.8596,118529.9144,477.192,42789.7382,NA,0,0,0,0,EUR,51515436.41
